Using cpu device
C:\Users\germa\AppData\Local\Programs\Python\Python311\Lib\site-packages\stable_baselines3\ppo\ppo.py:155: UserWarning: You have specified a mini-batch size of 64, but because the `RolloutBuffer` is of size `n_steps * n_envs = 5000`, after every 78 untruncated mini-batches, there will be a truncated mini-batch of size 8
We recommend using a `batch_size` that is a factor of `n_steps * n_envs`.
Info: (n_steps=5000 and n_envs=1)
  warnings.warn(
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 7.84     |
|    ep_rew_mean     | 0.02     |
| time/              |          |
|    fps             | 1485     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 5000     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.64        |
|    ep_rew_mean          | 0.01        |
| time/                   |             |
|    fps                  | 1004        |
|    iterations           | 2           |
|    time_elapsed         | 9           |
|    total_timesteps      | 10000       |
| train/                  |             |
|    approx_kl            | 0.047313947 |
|    clip_fraction        | 0.182       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.36       |
|    explained_variance   | -1.35       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0221     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0112     |
|    value_loss           | 0.0151      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.86       |
|    ep_rew_mean          | 0.05       |
| time/                   |            |
|    fps                  | 874        |
|    iterations           | 3          |
|    time_elapsed         | 17         |
|    total_timesteps      | 15000      |
| train/                  |            |
|    approx_kl            | 0.01745679 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.31      |
|    explained_variance   | 0.00146    |
|    learning_rate        | 0.0003     |
|    loss                 | -0.018     |
|    n_updates            | 20         |
|    policy_gradient_loss | -0.00946   |
|    value_loss           | 0.0156     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.11        |
|    ep_rew_mean          | 0.02        |
| time/                   |             |
|    fps                  | 829         |
|    iterations           | 4           |
|    time_elapsed         | 24          |
|    total_timesteps      | 20000       |
| train/                  |             |
|    approx_kl            | 0.011903336 |
|    clip_fraction        | 0.127       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.3        |
|    explained_variance   | 0.121       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.053      |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00974    |
|    value_loss           | 0.0169      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 9.62        |
|    ep_rew_mean          | 0.04        |
| time/                   |             |
|    fps                  | 806         |
|    iterations           | 5           |
|    time_elapsed         | 30          |
|    total_timesteps      | 25000       |
| train/                  |             |
|    approx_kl            | 0.010979685 |
|    clip_fraction        | 0.0978      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.27       |
|    explained_variance   | 0.201       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0788     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.0099     |
|    value_loss           | 0.0267      |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 6.53       |
|    ep_rew_mean          | 0.04       |
| time/                   |            |
|    fps                  | 804        |
|    iterations           | 6          |
|    time_elapsed         | 37         |
|    total_timesteps      | 30000      |
| train/                  |            |
|    approx_kl            | 0.00806404 |
|    clip_fraction        | 0.0602     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.24      |
|    explained_variance   | 0.2        |
|    learning_rate        | 0.0003     |
|    loss                 | 0.0279     |
|    n_updates            | 50         |
|    policy_gradient_loss | -0.00481   |
|    value_loss           | 0.0226     |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.35        |
|    ep_rew_mean          | 0.06        |
| time/                   |             |
|    fps                  | 794         |
|    iterations           | 7           |
|    time_elapsed         | 44          |
|    total_timesteps      | 35000       |
| train/                  |             |
|    approx_kl            | 0.010775861 |
|    clip_fraction        | 0.0997      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.22       |
|    explained_variance   | 0.201       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0655     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00799    |
|    value_loss           | 0.0347      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.52        |
|    ep_rew_mean          | 0.04        |
| time/                   |             |
|    fps                  | 783         |
|    iterations           | 8           |
|    time_elapsed         | 51          |
|    total_timesteps      | 40000       |
| train/                  |             |
|    approx_kl            | 0.011474115 |
|    clip_fraction        | 0.1         |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.19       |
|    explained_variance   | 0.214       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0216     |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00786    |
|    value_loss           | 0.0295      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.79        |
|    ep_rew_mean          | 0.09        |
| time/                   |             |
|    fps                  | 782         |
|    iterations           | 9           |
|    time_elapsed         | 57          |
|    total_timesteps      | 45000       |
| train/                  |             |
|    approx_kl            | 0.009387309 |
|    clip_fraction        | 0.11        |
