Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 8.03     |
|    ep_rew_mean     | 0.01     |
| time/              |          |
|    fps             | 1544     |
|    iterations      | 1        |
|    time_elapsed    | 1        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.07        |
|    ep_rew_mean          | 0.01        |
| time/                   |             |
|    fps                  | 1068        |
|    iterations           | 2           |
|    time_elapsed         | 3           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.008163331 |
|    clip_fraction        | 0.0188      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.38       |
|    explained_variance   | -4.35       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0784     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00617    |
|    value_loss           | 0.00832     |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 7.9          |
|    ep_rew_mean          | 0.03         |
| time/                   |              |
|    fps                  | 974          |
|    iterations           | 3            |
|    time_elapsed         | 6            |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0120061375 |
|    clip_fraction        | 0.0675       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.36        |
|    explained_variance   | -0.0243      |
|    learning_rate        | 0.0003       |
|    loss                 | -0.00605     |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00828     |
|    value_loss           | 0.0064       |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.54        |
|    ep_rew_mean          | 0.01        |
| time/                   |             |
|    fps                  | 927         |
|    iterations           | 4           |
|    time_elapsed         | 8           |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.011300961 |
|    clip_fraction        | 0.108       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.33       |
|    explained_variance   | 0.0951      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0214     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0118     |
|    value_loss           | 0.0157      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.59        |
|    ep_rew_mean          | 0.01        |
| time/                   |             |
|    fps                  | 904         |
|    iterations           | 5           |
|    time_elapsed         | 11          |
|    total_timesteps      | 10240       |
| train/                  |             |
|    approx_kl            | 0.011830727 |
|    clip_fraction        | 0.168       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.29       |
|    explained_variance   | 0.128       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0018     |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.012      |
|    value_loss           | 0.0129      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 6.98        |
|    ep_rew_mean          | 0.01        |
| time/                   |             |
|    fps                  | 892         |
|    iterations           | 6           |
|    time_elapsed         | 13          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.015217408 |
|    clip_fraction        | 0.151       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | 0.231       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00349    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0143     |
|    value_loss           | 0.0152      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.14        |
|    ep_rew_mean          | 0.04        |
| time/                   |             |
|    fps                  | 883         |
|    iterations           | 7           |
|    time_elapsed         | 16          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.010933507 |
|    clip_fraction        | 0.103       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.2        |
|    explained_variance   | 0.0681      |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0107     |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00831    |
|    value_loss           | 0.0165      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.89        |
|    ep_rew_mean          | 0.02        |
| time/                   |             |
|    fps                  | 877         |
|    iterations           | 8           |
|    time_elapsed         | 18          |
|    total_timesteps      | 16384       |
| train/                  |             |
|    approx_kl            | 0.008242321 |
|    clip_fraction        | 0.0676      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.16       |
|    explained_variance   | 0.105       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.00807    |
|    n_updates            | 70          |
|    policy_gradient_loss | -0.00684    |
|    value_loss           | 0.0267      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 7.78        |
|    ep_rew_mean          | 0.09        |
| time/                   |             |
|    fps                  | 870         |
|    iterations           | 9           |
|    time_elapsed         | 21          |
|    total_timesteps      | 18432       |
| train/                  |             |
|    approx_kl            | 0.010167623 |
|    clip_fraction        | 0.0658      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.12       |
|    explained_variance   | 0.156       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.000381   |
|    n_updates            | 80          |
|    policy_gradient_loss | -0.00702    |
|    value_loss           | 0.0299      |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 8.08        |
|    ep_rew_mean          | 0.05        |
| time/                   |             |
|    fps                  | 861         |
|    iterations           | 10          |
|    time_elapsed         | 23          |
|    total_timesteps      | 20480       |
| train/                  |             |
